division_alias,party_number,votes,percent
00.87.33,41,21,8.3
00.87.33,5,37,14.625
00.87.33,36,21,8.3
00.87.33,9,36,14.229
00.87.33,6,1,0.395
00.87.33,8,4,1.581
00.87.33,4,96,37.945
00.87.34,17,0,0.0
00.87.34,10,0,0.0
00.87.34,25,0,0.0
00.87.34,12,0,0.0
00.87.34,20,0,0.0
00.87.34,26,0,0.0
00.87.34,16,1,2.5
00.87.34,21,0,0.0
00.87.34,23,0,0.0
00.87.34,3,0,0.0
00.87.34,27,0,0.0
00.87.34,41,11,27.5
00.87.34,5,17,42.5
00.87.34,36,0,0.0
00.87.34,9,3,7.5
00.87.34,6,0,0.0
00.87.34,8,0,0.0
00.87.34,4,8,20.0
00.87.35,17,0,0.0
00.87.35,10,4,0.839
00.87.35,25,46,9.644
00.87.35,12,0,0.0
00.87.35,20,0,0.0
00.87.35,26,1,0.21
00.87.35,16,5,1.048
00.87.35,21,0,0.0
00.87.35,23,0,0.0
00.87.35,3,2,0.419
00.87.35,27,0,0.0
00.87.35,41,37,7.757
00.87.35,5,54,11.321
00.87.35,36,17,3.564
00.87.35,9,127,26.625
00.87.35,6,2,0.419
00.87.35,8,7,1.468
00.87.35,4,175,36.688
00.87.36,17,0,0.0
00.87.36,10,11,1.095
00.87.36,25,102,10.149
00.87.36,12,0,0.0
00.87.36,20,3,0.299
00.87.36,26,0,0.0
00.87.36,16,5,0.498
00.87.36,21,0,0.0
00.87.36,23,1,0.1
00.87.36,3,6,0.597
00.87.36,27,8,0.796
00.87.36,41,98,9.751
00.87.36,5,185,18.408
00.87.36,36,50,4.975
00.87.36,9,172,17.114
00.87.36,6,9,0.896
00.87.36,8,16,1.592
00.87.36,4,339,33.731
00.87.37,17,0,0.0
00.87.37,10,4,2.326
00.87.37,25,34,19.767
00.87.37,12,0,0.0
00.87.37,20,0,0.0
00.87.37,26,0,0.0
00.87.37,16,2,1.163
00.87.37,21,0,0.0
00.87.37,23,0,0.0
00.87.37,3,0,0.0
00.87.37,27,0,0.0
00.87.37,41,15,8.721
00.87.37,5,16,9.302
00.87.37,36,18,10.465
00.87.37,9,27,15.698
00.87.37,6,0,0.0
00.87.37,8,1,0.581
00.87.37,4,55,31.977
00.87.38,17,2,0.253
00.87.38,10,31,3.914
00.87.38,25,27,3.409
00.87.38,12,1,0.126
00.87.38,20,1,0.126
00.87.38,26,1,0.126
00.87.38,16,15,1.894
00.87.38,21,0,0.0
00.87.38,23,0,0.0
00.87.38,3,2,0.253
00.87.38,27,3,0.379
00.87.38,41,209,26.389
00.87.38,5,265,33.46
00.87.38,36,5,0.631
00.87.38,9,44,5.556
00.87.38,6,2,0.253
00.87.38,8,41,5.177
00.87.38,4,143,18.056
00.87.39,17,0,0.0
00.87.39,10,26,3.616
00.87.39,25,22,3.06
00.87.39,12,0,0.0
00.87.39,20,0,0.0
00.87.39,26,0,0.0
00.87.39,16,10,1.391
00.87.39,21,1,0.139
00.87.39,23,0,0.0
00.87.39,3,0,0.0
00.87.39,27,2,0.278
00.87.39,41,133,18.498
00.87.39,5,262,36.439
00.87.39,36,11,1.53
00.87.39,9,40,5.563
00.87.39,6,3,0.417
00.87.39,8,29,4.033
00.87.39,4,180,25.035
00.87.40,17,1,0.135
00.87.40,10,24,3.23
00.87.40,25,35,4.711
00.87.40,12,2,0.269
00.87.40,20,3,0.404
00.87.40,26,0,0.0
00.87.40,16,15,2.019
00.87.40,21,0,0.0
00.87.40,23,2,0.269
00.87.40,3,2,0.269
00.87.40,27,3,0.404
00.87.40,41,122,16.42
00.87.40,5,269,36.205
00.87.40,36,1,0.135
00.87.40,9,55,7.402
00.87.40,6,5,0.673
00.87.40,8,35,4.711
00.87.40,4,169,22.746
00.87.41,17,1,0.282
00.87.41,10,8,2.254
00.87.41,25,15,4.225
00.87.41,12,2,0.563
00.87.41,20,0,0.0
00.87.41,26,0,0.0
00.87.41,16,4,1.127
00.87.41,21,0,0.0
00.87.41,23,0,0.0
00.87.41,3,0,0.0
00.87.41,27,2,0.563
00.87.41,41,92,25.915
00.87.41,5,124,34.93
00.87.41,36,2,0.563
00.87.41,9,37,10.423
00.87.41,6,2,0.563
00.87.41,8,9,2.535
00.87.41,4,57,16.056
00.87.42,17,2,0.552
00.87.42,10,8,2.21
00.87.42,25,14,3.867
00.87.42,12,3,0.829
00.87.42,20,1,0.276
00.87.42,26,1,0.276
00.87.42,16,7,1.934
00.87.42,21,0,0.0
00.87.42,23,0,0.0
00.87.42,3,3,0.829
00.87.42,27,2,0.552
00.87.42,41,113,31.215
00.87.42,5,117,32.32
00.87.42,36,0,0.0
00.87.42,9,17,4.696
00.87.42,6,1,0.276
00.87.42,8,13,3.591
00.87.42,4,60,16.575
00.87.43,17,1,0.153
00.87.43,10,12,1.84
00.87.43,25,62,9.509
00.87.43,12,1,0.153
00.87.43,20,1,0.153
00.87.43,26,0,0.0
00.87.43,16,4,0.613
00.87.43,21,0,0.0
00.87.43,23,1,0.153
00.87.43,3,1,0.153
00.87.43,27,16,2.454
00.87.43,41,64,9.816
00.87.43,5,97,14.877
00.87.43,36,12,1.84
00.87.43,9,138,21.166
00.87.43,6,3,0.46
00.87.43,8,20,3.067
00.87.43,4,219,33.589
00.87.44,17,0,0.0
00.87.44,10,1,0.461
00.87.44,25,36,16.59
00.87.44,12,0,0.0
00.87.44,20,1,0.461
00.87.44,26,0,0.0
00.87.44,16,3,1.382
00.87.44,21,0,0.0
00.87.44,23,0,0.0
00.87.44,3,0,0.0
00.87.44,27,1,0.461
00.87.44,41,18,8.295
00.87.44,5,36,16.59
00.87.44,36,22,10.138
00.87.44,9,17,7.834
00.87.44,6,2,0.922
00.87.44,8,1,0.461
00.87.44,4,79,36.406
00.87.45,17,0,0.0
00.87.45,10,2,2.778
00.87.45,25,5,6.944
00.87.45,12,0,0.0
00.87.45,20,0,0.0
00.87.45,26,0,0.0
00.87.45,16,0,0.0
00.87.45,21,2,2.778
00.87.45,23,0,0.0
00.87.45,3,0,0.0
00.87.45,27,0,0.0
00.87.45,41,43,59.722
00.87.45,5,7,9.722
00.87.45,36,1,1.389
00.87.45,9,5,6.944
00.87.45,6,0,0.0
00.87.45,8,0,0.0
00.87.45,4,7,9.722
00.87.46,17,0,0.0
00.87.46,10,0,0.0
00.87.46,25,4,8.0
00.87.46,12,0,0.0
00.87.46,20,0,0.0
00.87.46,26,0,0.0
00.87.46,16,0,0.0
00.87.46,21,0,0.0
00.87.46,23,0,0.0
00.87.46,3,0,0.0
00.87.46,27,0,0.0
00.87.46,41,24,48.0
00.87.46,5,6,12.0
00.87.46,36,2,4.0
00.87.46,9,6,12.0
00.87.46,6,0,0.0
00.87.46,8,1,2.0
00.87.46,4,7,14.0
00.87.47,17,0,0.0
00.87.47,10,3,1.124
00.87.47,25,29,10.861
00.87.47,12,0,0.0
00.87.47,20,0,0.0
00.87.47,26,0,0.0
00.87.47,16,0,0.0
00.87.47,21,0,0.0
00.87.47,23,2,0.749
00.87.47,3,0,0.0
00.87.47,27,1,0.375
00.87.47,41,61,22.846
00.87.47,5,7,2.622
00.87.47,36,20,7.491
00.87.47,9,55,20.599
00.87.47,6,1,0.375
00.87.47,8,0,0.0
00.87.47,4,88,32.959
00.87.48,17,0,0.0
00.87.48,10,0,0.0
00.87.48,25,3,6.25
00.87.48,12,0,0.0
00.87.48,20,0,0.0
00.87.48,26,0,0.0
00.87.48,16,0,0.0
00.87.48,21,0,0.0
00.87.48,23,0,0.0
00.87.48,3,0,0.0
00.87.48,27,1,2.083
00.87.48,41,12,25.0
00.87.48,5,6,12.5
00.87.48,36,2,4.167
00.87.48,9,4,8.333
00.87.48,6,0,0.0
00.87.48,8,1,2.083
00.87.48,4,19,39.583
00.87.49,17,0,0.0
00.87.49,10,4,6.78
00.87.49,25,3,5.085
00.87.49,12,0,0.0
00.87.49,20,0,0.0
00.87.49,26,0,0.0
00.87.49,16,0,0.0
00.87.49,21,0,0.0
00.87.49,23,1,1.695
00.87.49,3,0,0.0
00.87.49,27,0,0.0
00.87.49,41,29,49.153
00.87.49,5,9,15.254
00.87.49,36,0,0.0
00.87.49,9,6,10.169
00.87.49,6,1,1.695
00.87.49,8,0,0.0
00.87.49,4,6,10.169
00.87.50,17,1,0.181
00.87.50,10,8,1.447
00.87.50,25,60,10.85
00.87.50,12,2,0.362
00.87.50,20,0,0.0
00.87.50,26,2,0.362
00.87.50,16,7,1.266
00.87.50,21,0,0.0
00.87.50,23,0,0.0
00.87.50,3,1,0.181
00.87.50,27,4,0.723
00.87.50,41,71,12.839
00.87.50,5,104,18.807
00.87.50,36,11,1.989
00.87.50,9,92,16.637
00.87.50,6,2,0.362
00.87.50,8,5,0.904
00.87.50,4,183,33.092
00.87.51,17,0,0.0
00.87.51,10,8,2.5
00.87.51,25,32,10.0
00.87.51,12,1,0.313
00.87.51,20,0,0.0
00.87.51,26,1,0.313
00.87.51,16,1,0.313
00.87.51,21,1,0.313
00.87.51,23,0,0.0
00.87.51,3,0,0.0
00.87.51,27,0,0.0
00.87.51,41,41,12.813
00.87.51,5,41,12.813
00.87.51,36,8,2.5
00.87.51,9,86,26.875
00.87.51,6,0,0.0
00.87.51,8,2,0.625
